Country,Code,Year,Population,Total_death_rate_per_100k
Afghanistan,AFG,2019,37769499,1.795756783
Albania,ALB,2019,2854191,35.26462966
Algeria,DZA,2019,42705368,1.415589958
American Samoa,ASM,2019,47321,2005.111435
Andorra,AND,2019,76343,801.2691762
Angola,AGO,2019,32353588,1.590601952
Antigua and Barbuda,ATG,2019,92117,687.0510114
Argentina,ARG,2019,44938712,1.430971729
Armenia,ARM,2019,2820602,46.5270875
Australia,AUS,2019,25340217,1.811496369
Austria,AUT,2019,8879920,9.506172215
Azerbaijan,AZE,2019,10024283,10.78356495
Bahrain,BHR,2019,1494188,26.80285744
Bangladesh,BGD,2019,165516222,0.386841769
Barbados,BRB,2019,280180,350.8243054
Belarus,BLR,2019,9419758,17.37087822
Belgium,BEL,2019,11488980,6.63933459
Belize,BLZ,2019,389095,118.1017178
Benin,BEN,2019,12290444,5.595378658
Bermuda,BMU,2019,63911,1170.244667
Bhutan,BTN,2019,767459,73.36246232
Bolivia,BOL,2019,11777315,4.409209075
Bosnia and Herzegovina,BIH,2019,3360711,48.38690359
Botswana,BWA,2019,2499702,36.62153005
Brazil,BRA,2019,211782878,0.271698551
Bulgaria,BGR,2019,6975761,36.564213
Burkina Faso,BFA,2019,20951639,4.314679642
Burundi,BDI,2019,11874838,6.062826914
Cambodia,KHM,2019,16207746,4.732479819
Cameroon,CMR,2019,25782341,3.094072423
Canada,CAN,2019,37601230,1.516579702
Central African Republic,CAF,2019,5209324,26.10157808
Chad,TCD,2019,16126866,7.762852006
Chile,CHL,2019,19039485,2.791543303
China,CHN,2019,1407745000,0.06838335
Colombia,COL,2019,50187406,0.803132245
Comoros,COM,2019,790986,76.7191255
Costa Rica,CRI,2019,5084532,7.765216775
Cote d'Ivoire,CIV,2019,26147551,2.439876564
Croatia,HRV,2019,4065253,38.76310484
Cuba,CUB,2019,11316697,7.962355453
Cyprus,CYP,2019,1228836,55.32973654
Czechia,CZE,2019,10671870,11.79659361
Denmark,DNK,2019,5814422,13.07609135
Djibouti,DJI,2019,1073994,60.56543922
Dominica,DMA,2019,71428,1297.540761
Dominican Republic,DOM,2019,10881882,6.081305881
Ecuador,ECU,2019,17343740,2.446266598
El Salvador,SLV,2019,6280217,9.110034129
Equatorial Guinea,GNQ,2019,1553031,25.87166268
Eritrea,ERI,2019,3498818,34.54496137
Estonia,EST,2019,1326898,93.01634495
Eswatini,SWZ,2019,1169613,86.40385175
Ethiopia,ETH,2019,114120594,0.420132515
Fiji,FJI,2019,918465,136.3715104
Finland,FIN,2019,5521606,16.00524384
France,FRA,2019,67388001,0.904426549
Gabon,GAB,2019,2242785,21.74516129
Georgia,GEO,2019,3720161,50.21894471
Germany,DEU,2019,83092962,1.281443473
Ghana,GHA,2019,31522290,1.901616198
Greece,GRC,2019,10721582,10.33297974
Greenland,GRL,2019,56225,1262.158707
Grenada,GRD,2019,122724,542.4541706
Guam,GUM,2019,168624,443.1306305
Guatemala,GTM,2019,16604026,3.012945388
Guinea,GIN,2019,12877539,6.209936222
Guinea-Bissau,GNB,2019,1970457,38.82349122
Guyana,GUY,2019,798753,116.5819108
Haiti,HTI,2019,11160438,8.656792116
Honduras,HND,2019,9958829,5.255586465
Hungary,HUN,2019,9771141,17.09386376
Iceland,ISL,2019,360563,123.9176656
India,IND,2019,1383112050,0.058206462
Indonesia,IDN,2019,269582878,0.278131407
Iraq,IRQ,2019,41563520,1.496677739
Ireland,IRL,2019,4934340,10.5570498
Israel,ISR,2019,9054000,4.651422882
Italy,ITA,2019,59729081,1.574276282
Jamaica,JAM,2019,2813773,25.79913895
Japan,JPN,2019,126633000,0.531142695
Jordan,JOR,2019,10698683,3.552538369
Kazakhstan,KAZ,2019,18513673,5.133621435
Kenya,KEN,2019,50951450,1.058361637
Kiribati,KIR,2019,124241,1061.167696
Kuwait,KWT,2019,4441100,6.930357514
Latvia,LVA,2019,1913822,84.14523916
Lebanon,LBN,2019,5781907,13.70636709
Lesotho,LSO,2019,2225702,68.63286231
Liberia,LBR,2019,4985289,11.26458783
Libya,LBY,2019,6569088,8.963241086
Lithuania,LTU,2019,2794137,51.81882344
