Country,Code,Year,Population,Total_Death_Rate,,
Afghanistan,AFG,2019,37769499,209370,554.3361854,
Albania,ALB,2019,2854191,28500,998.531633,
Algeria,DZA,2019,42705368,248758,582.4982002,170.559287
American Samoa,ASM,2019,47321,440,929.8197418,2539.86626
Andorra,AND,2019,76343,461,603.8536605,
Angola,AGO,2019,32353588,105877,327.2496392,
Antigua and Barbuda,ATG,2019,92117,562,610.0936852,
Argentina,ARG,2019,44938712,279007,620.8611408,
Armenia,ARM,2019,2820602,36622,1298.375311,
Australia,AUS,2019,25340217,115179,454.5304407,
Austria,AUT,2019,8879920,74571,839.771079,
Azerbaijan,AZE,2019,10024283,105302,1050.469146,
Bahrain,BHR,2019,1494188,5933,397.0718544,
Bangladesh,BGD,2019,165516222,970115,586.1147556,
Barbados,BRB,2019,280180,2666,951.5311585,
Belarus,BLR,2019,9419758,153255,1626.952624,
Belgium,BEL,2019,11488980,86707,754.6971098,
Belize,BLZ,2019,389095,1612,414.2947095,
Benin,BEN,2019,12290444,54239,441.3103383,
Bermuda,BMU,2019,63911,469,733.8329865,
Bhutan,BTN,2019,767459,3938,513.1218736,
Bolivia,BOL,2019,11777315,53929,457.9057281,
Bosnia and Herzegovina,BIH,2019,3360711,54412,1619.062157,
Botswana,BWA,2019,2499702,15296,611.91294,
Brazil,BRA,2019,211782878,1152449,544.1653314,
Bulgaria,BGR,2019,6975761,177175,2539.86626,
Burkina Faso,BFA,2019,20951639,116939,558.137719,
Burundi,BDI,2019,11874838,55599,468.2084926,
Cambodia,KHM,2019,16207746,113008,697.2468596,
Cameroon,CMR,2019,25782341,128405,498.034682,
Canada,CAN,2019,37601230,212170,564.2634563,
Central African Republic,CAF,2019,5209324,40797,783.153438,
Chad,TCD,2019,16126866,102015,632.5779603,
Chile,CHL,2019,19039485,98543,517.5717726,
China,CHN,2019,1407745000,13409833,952.5754309,
Colombia,COL,2019,50187406,191401,381.3725698,
Comoros,COM,2019,790986,3767,476.241046,
Costa Rica,CRI,2019,5084532,19431,382.159066,
Cote d'Ivoire,CIV,2019,26147551,111121,424.9767024,
Croatia,HRV,2019,4065253,63838,1570.332769,
Cuba,CUB,2019,11316697,100247,885.8326771,
Cyprus,CYP,2019,1228836,8293,674.8662962,
Czechia,CZE,2019,10671870,133620,1252.076721,
Denmark,DNK,2019,5814422,43825,753.7292615,
Djibouti,DJI,2019,1073994,4551,423.7453841,
Dominica,DMA,2019,71428,635,889.0071121,
Dominican Republic,DOM,2019,10881882,65898,605.5753959,
Ecuador,ECU,2019,17343740,68009,392.1241901,
El Salvador,SLV,2019,6280217,33639,535.6343579,
Equatorial Guinea,GNQ,2019,1553031,3674,236.5696499,
Eritrea,ERI,2019,3498818,28504,814.6751274,
Estonia,EST,2019,1326898,16275,1226.544919,
Eswatini,SWZ,2019,1169613,7449,636.8773261,
Ethiopia,ETH,2019,114120594,347063,304.1195176,
Fiji,FJI,2019,918465,11174,1216.59508,
Finland,FIN,2019,5521606,48634,880.7944645,
France,FRA,2019,67388001,402771,597.6894907,
Gabon,GAB,2019,2242785,8831,393.7515188,
Georgia,GEO,2019,3720161,69032,1855.618614,
Germany,DEU,2019,83092962,879851,1058.87548,
Ghana,GHA,2019,31522290,145698,462.2062674,
Greece,GRC,2019,10721582,118223,1102.663767,
Greenland,GRL,2019,56225,391,695.4201867,
Grenada,GRD,2019,122724,787,641.27636,
Guam,GUM,2019,168624,1226,727.061391,
Guatemala,GTM,2019,16604026,72155,434.56328,
Guinea,GIN,2019,12877539,68799,534.2558077,
Guinea-Bissau,GNB,2019,1970457,10013,508.1562297,
Guyana,GUY,2019,798753,6902,864.0969111,
Haiti,HTI,2019,11160438,85291,764.2262786,
Honduras,HND,2019,9958829,48852,490.5396006,
Hungary,HUN,2019,9771141,162490,1662.958297,
Iceland,ISL,2019,360563,1598,443.1957799,
India,IND,2019,1383112050,9986827,722.0548039,
Indonesia,IDN,2019,269582878,1914553,710.190875,
Iraq,IRQ,2019,41563520,250157,601.8667331,
Ireland,IRL,2019,4934340,25504,516.8675041,
Israel,ISR,2019,9054000,37688,416.2580075,
Italy,ITA,2019,59729081,558249,934.6351738,
Jamaica,JAM,2019,2813773,19347,687.5821184,
Japan,JPN,2019,126633000,842925,665.6440264,
Jordan,JOR,2019,10698683,38837,363.0072973,
Kazakhstan,KAZ,2019,18513673,173146,935.2331112,
Kenya,KEN,2019,50951450,175566,344.5750808,
Kiribati,KIR,2019,124241,1521,1224.233546,
Kuwait,KWT,2019,4441100,13402,301.7720835,
Latvia,LVA,2019,1913822,30631,1600.514572,
Lebanon,LBN,2019,5781907,45273,783.0115566,
Lesotho,LSO,2019,2225702,20029,899.8958531,
Liberia,LBR,2019,4985289,19372,388.5832898,
Libya,LBY,2019,6569088,38115,580.2175279,
Lithuania,LTU,2019,2794137,40225,1439.621608,
Luxembourg,LUX,2019,620001,3398,548.0636322,
Madagascar,MDG,2019,27533134,127057,461.4694426,
Malawi,MWI,2019,18867337,72259,382.9846258,
Malaysia,MYS,2019,32804020,168244,512.8761658,
Maldives,MDV,2019,504508,1377,272.9391803,
Mali,MLI,2019,20567424,102732,499.4889005,
Malta,MLT,2019,504062,3614,716.9752927,
Marshall Islands,MHL,2019,44728,493,1102.21785,
Mauritania,MRT,2019,4383849,15573,355.2357757,
Mauritius,MUS,2019,1265985,13563,1071.339708,
Mexico,MEX,2019,125085311,691863,553.1129071,
Moldova,MDA,2019,2664224,49878,1872.13988,
Monaco,MCO,2019,37034,385,1039.585246,
Mongolia,MNG,2019,3232430,30623,947.3677698,
Montenegro,MNE,2019,622028,10287,1653.784074,
Morocco,MAR,2019,36304408,303235,835.2566994,
Mozambique,MOZ,2019,30285595,131532,434.3054842,
Myanmar,MMR,2019,53040212,488029,920.1113299,
Namibia,NAM,2019,2446644,13500,551.776229,
Nauru,NRU,2019,12132,78,642.9277943,
Nepal,NPL,2019,28832496,205541,712.8796619,
Netherlands,NLD,2019,17344874,114041,657.4910835,
New Zealand,NZL,2019,4979200,24383,489.6971401,
Nicaragua,NIC,2019,6663924,30201,453.2014471,
Niger,NER,2019,23443393,118426,505.1572526,
Nigeria,NGA,2019,203304492,912981,449.0707466,
North Macedonia,MKD,2019,2076694,37970,1828.386849,
Northern Mariana Islands,MNP,2019,49858,413,828.3525212,
Norway,NOR,2019,5347896,26992,504.721857,
Oman,OMN,2019,4602768,14256,309.7266688,
Pakistan,PAK,2019,223293280,1375527,616.0180906,
Palau,PLW,2019,17916,237,1322.83992,
Panama,PAN,2019,4232532,15185,358.7686992,
Papua New Guinea,PNG,2019,9542486,66942,701.5153074,
Paraguay,PRY,2019,6530026,32784,502.0500684,
Peru,PER,2019,32824861,95593,291.2213398,
Philippines,PHL,2019,110380804,661704,599.4737998,
Poland,POL,2019,37965475,460603,1213.215428,
Portugal,PRT,2019,10286263,85563,831.8181248,
Puerto Rico,PRI,2019,3193694,28480,891.7573193,
Qatar,QAT,2019,2807235,4788,170.559287,
Romania,ROU,2019,19371648,324945,1677.425689,
